Name, CID
Bradley Byrne,N00035380
Martha Roby,N00030768
Mike D Rogers,N00024759
Robert B Aderholt,N00003028
Mo Brooks,N00030910
Gary Palmer,N00035691
Terri A Sewell,N00030622
Doug Jones,N00024817
Richard C Shelby,N00009920
Don Young,N00007999
Dan Sullivan,N00035774
Lisa Murkowski,N00026050
Tom O'Halleran,N00037515
Ann Kirkpatrick,N00029260
Raul M Grijalva,N00025284
Paul Gosar,N00030771
Andy Biggs,N00039293
David Schweikert,N00006460
Ruben Gallego,N00036097
Debbie Lesko,N00042056
Greg Stanton,N00041750
Mark Kelly,N00044223
Martha McSally,N00033982
Kyrsten Sinema,N00033983
Rick Crawford,N00030770
French Hill,N00035792
Steve Womack,N00031857
Bruce Westerman,N00035527
Tom Cotton,N00033363
John Boozman,N00013873
Doug LaMalfa,N00033987
Jared Huffman,N00033030
John Garamendi,N00030856
Tom McClintock,N00006863
Mike Thompson,N00007419
Doris Matsui,N00027459
Ami Bera,N00030717
Paul Cook,N00034224
Jerry McNerney,N00026926
Josh Harder,N00040853
Mark Desaulnier,N00030709
Nancy Pelosi,N00007360
Barbara Lee,N00008046
Jackie Speier,N00029649
Eric Swalwell,N00033508
Jim Costa,N00026341
Ro Khanna,N00026427
Anna Eshoo,N00007335
Zoe Lofgren,N00007479
Jimmy Panetta,N00038601
TJ Cox,N00028122
Devin Nunes,N00007248
Kevin McCarthy,N00028152
